sdnn,lf_hf,hr,rmssd,pnn50,nn50,stress
55.99,3.412313223,105,13.47,0,2,35.9
55.99,3.412313223,105,13.47,0,2,35.9
55.99,3.412313223,105,13.47,0,2,35.9
55.99,3.412313223,105,13.47,0,2,35.9
55.99,3.412313223,104,13.47,0,2,35.36
55.99,3.412313223,104,13.47,0,2,35.36
56.47,3.153224342,104,14.05,0,2,33.38
56.47,3.153224342,105,14.05,0,2,33.92
56.47,3.153224342,105,14.05,0,2,33.92
54.81,3.201575439,105,13.96,0,2,34.29
54.81,3.201575439,105,13.96,0,2,34.29
54.81,3.201575439,105,13.96,0,2,34.29
54.06,3.128463922,105,13.89,0,2,33.73
49.69,2.928669528,105,13.88,0,2,32.22
46.68,2.690924806,105,14.01,0,2,30.45
46.68,2.690924806,105,14.01,0,2,30.45
45.15,2.820449623,105,14.15,0,4,31.41
45.15,2.820449623,105,14.15,0,4,31.41
45.15,2.820449623,104,14.15,0,4,30.88
45.15,2.820449623,105,14.15,0,4,31.41
47.52,3.752798285,101,15.89,1,8,36.43
47.52,3.752798285,101,15.89,1,8,36.43
47.52,3.752798285,100,15.89,1,8,35.92
48.65,3.776699029,100,16.25,1,8,36.1
49.08,3.704028021,102,16.21,1,8,36.57
49.08,3.704028021,101,16.21,1,8,36.05
46.43,3.705870418,100,16.72,1,9,35.55
46.43,3.705870418,100,16.72,1,9,35.55
44.19,3.518387032,98,16.85,1,9,33.08
44.19,3.518387032,98,16.85,1,9,33.08
43.54,3.71622194,98,16.95,1,9,34.62
43.54,3.71622194,98,16.95,1,9,34.62
43.54,3.71622194,98,16.95,1,9,34.62
41.51,3.68766477,98,17.06,1,9,34.4
41.51,3.68766477,98,17.06,1,9,34.4
41.51,3.68766477,99,17.06,1,9,34.9
39.89,3.721658857,99,17.04,1,9,35.16
39.89,3.721658857,99,17.04,1,9,35.16
40.91,3.841498559,98,17.23,1,9,35.6
40.81,3.569131619,93,17.37,1,9,31.04
40.81,3.569131619,92,17.37,1,9,30.57
42.31,3.865965202,92,17.58,1,9,32.88
44.92,3.899454916,90,17.78,1,9,32.22
44.92,3.899454916,90,17.78,1,9,32.22
46.72,3.94880592,89,17.88,1,9,32.15
48.41,3.783224892,88,18.1,1,9,30.4
48.41,3.783224892,88,18.1,1,9,30.4
49.96,3.857855026,88,18.32,1,8,30.98
49.96,3.857855026,89,18.32,1,8,31.43
49.96,3.857855026,89,18.32,1,8,31.43
50.46,3.882476319,89,18.37,1,8,31.63
50.46,3.882476319,89,18.37,1,8,31.63
50.46,3.882476319,90,18.37,1,8,32.08
50.46,3.882476319,91,18.37,1,8,32.55
49.6,3.691092903,91,18.44,1,8,31.05
49.6,3.691092903,91,18.44,1,8,31.05
49.6,3.691092903,91,18.44,1,8,31.05
49.6,3.691092903,91,18.44,1,8,31.05
50.28,3.973071084,91,18.73,1,8,33.26
49.95,4.057916584,92,18.77,1,8,34.4
49.71,4.89979445,93,18.75,1,9,41.68
49.71,4.89979445,93,18.75,1,9,41.68
49.71,4.89979445,92,18.75,1,9,41.21
48.7,5.076732078,92,18.39,1,8,42.68
48.7,5.076732078,92,18.39,1,8,42.68
48.7,5.076732078,92,18.39,1,8,42.68
48.7,5.076732078,92,18.39,1,8,42.68
